ID	CEP	Faturamento 2019	Gestor da Empresa
438	09940-150	3368	LUCAS ERMINO TAVARES
439	09771-280	44479	LUISA BELUS HENRIQUES
440	09761-070	28066	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
441	09351-090	9772	MARCELO KOSARCZUK DA COSTA
442	09830-140	6481	MARCELO SEMERENE FARAH
443	21070-480	13705	MARIA HELENA C P GODEIRO GASPARINETTI
444	21531-060	17749	MATEUS DRIGO DA SILVA
445	21070-215	10246	MATHEUS AMARAL MÕES
446	21012-412	12590	REGINALDO DE MIRANDA TEODORO
447	21070-040	10948	ROBERTA CRISTINA FORMIGA DE CASTRO
448	21210-010	7523	RAQUEL DE SOUZA BATISTA FONTES
449	21030-270	46157	ALEXANDRE DE ALMEIDA FONSECA
450	21030-000	40458	ALINE BRAGA LAKISS GUSMÃO
451	21070-300	45434	ANA PAULA GARUTTI DA SILVA
452	21250-450	48171	ANA PAULA GONÇALVES DOS SANTOS
453	21240-090	47172	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
454	21010-720	24560	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
455	21240-090	15926	DANIEL ROCHA SANTANNA
456	21221-350	33547	DANIELA DE GOES NOGUEIRA GEORG
457	21250-470	21119	DAVI KHOURY OLIVEIRA
458	21240-160	37803	DEMILTON CARVALHO LEITE JUNIOR
459	21010-713	22116	DENIS BORGARELLI TAVARES
460	21240-150	11451	EDUARDO CAMPEDELLI KAVAMOTO
461	21011-729	27158	FABIO NETTO PINHEIRO GRANDE
462	21042-020	7112	FELIPE SANTOS ARAÚJO
463	21531-020	25486	GERALDO RODRIGUES DA SILVA JÚNIOR
464	21235-540	36648	HUGO AZEVEDO BERGAMASCHI
465	21371-310	39604	HUGO CRISOSTOMO DE MACEDO
466	21010-740	24383	HUGO DE MARCO FERNANDES
467	21920-236	42847	JESSICA BRAGA LAKISS GUSMÃO
468	21010-713	32979	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
469	21070-000	848	KAIRO ROSA NEVES DE OLIVEIRA
470	21011-680	40373	LUCAS ERMINO TAVARES
471	21210-270	4966	LUISA BELUS HENRIQUES
472	08130-210	30626	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
473	08191-300	25229	MARCELO KOSARCZUK DA COSTA
474	08190-060	21182	MARCELO SEMERENE FARAH
475	08160-245	15541	MARIA HELENA C P GODEIRO GASPARINETTI
476	08180-370	39521	MATEUS DRIGO DA SILVA
477	08142-120	44634	MATHEUS AMARAL MÕES
478	08150-290	20203	REGINALDO DE MIRANDA TEODORO
479	08122-080	7242	ROBERTA CRISTINA FORMIGA DE CASTRO
480	08150-300	9200	RAQUEL DE SOUZA BATISTA FONTES
481	08180-370	34593	ALEXANDRE DE ALMEIDA FONSECA
482	08142-236	21537	ALINE BRAGA LAKISS GUSMÃO
483	08190-480	37480	ANA PAULA GARUTTI DA SILVA
484	08111-600	39878	ANA PAULA GONÇALVES DOS SANTOS
485	08111-030	14975	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
486	08160-700	34458	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
487	08142-120	28008	DANIEL ROCHA SANTANNA
488	08142-290	23363	DANIELA DE GOES NOGUEIRA GEORG
489	08111-590	10137	DAVI KHOURY OLIVEIRA
490	08120-525	30205	DEMILTON CARVALHO LEITE JUNIOR
491	08142-120	3472	DENIS BORGARELLI TAVARES
492	08190-430	9940	EDUARDO CAMPEDELLI KAVAMOTO
493	08140-550	13039	FABIO NETTO PINHEIRO GRANDE
494	08130-000	7923	FELIPE SANTOS ARAÚJO
495	08081-310	35879	GERALDO RODRIGUES DA SILVA JÚNIOR
496	04166-000	37538	HUGO AZEVEDO BERGAMASCHI
497	04181-110	24339	HUGO CRISOSTOMO DE MACEDO
498	03202-110	30464	HUGO DE MARCO FERNANDES
499	04257-230	45122	JESSICA BRAGA LAKISS GUSMÃO
500	04174-150	24325	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
501	04256-000	9362	KAIRO ROSA NEVES DE OLIVEIRA
502	04232-000	4461	LUCAS ERMINO TAVARES
503	04163-001	2350	LUISA BELUS HENRIQUES
504	04939-220	28636	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
505	05882-000	47285	MARCELO KOSARCZUK DA COSTA
506	05872-080	37684	MARCELO SEMERENE FARAH
507	05850-125	14547	MARIA HELENA C P GODEIRO GASPARINETTI
508	04939-120	43760	MATEUS DRIGO DA SILVA
509	05850-120	24297	MATHEUS AMARAL MÕES
510	05873-370	2620	REGINALDO DE MIRANDA TEODORO
511	04951-020	40309	ROBERTA CRISTINA FORMIGA DE CASTRO
512	04942-170	37759	RAQUEL DE SOUZA BATISTA FONTES
513	05846-175	30393	ALEXANDRE DE ALMEIDA FONSECA
514	04916-030	41502	ALINE BRAGA LAKISS GUSMÃO
515	05882-460	3032	ANA PAULA GARUTTI DA SILVA
516	04960-020	10399	ANA PAULA GONÇALVES DOS SANTOS
517	06856-800	24503	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
518	04950-060	36399	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
519	05881-250	23338	DANIEL ROCHA SANTANNA
520	04930-080	48413	DANIELA DE GOES NOGUEIRA GEORG
521	04961-250	36217	DAVI KHOURY OLIVEIRA
522	05847-620	34226	DEMILTON CARVALHO LEITE JUNIOR
523	04962-000	19431	DENIS BORGARELLI TAVARES
524	04940-000	37938	EDUARDO CAMPEDELLI KAVAMOTO
525	04949-000	26727	FABIO NETTO PINHEIRO GRANDE
526	05844-000	17537	FELIPE SANTOS ARAÚJO
527	05849-480	5777	GERALDO RODRIGUES DA SILVA JÚNIOR
528	06864-070	35298	HUGO AZEVEDO BERGAMASCHI
529	06864-120	32827	HUGO CRISOSTOMO DE MACEDO
530	04950-000	4113	HUGO DE MARCO FERNANDES
531	05879-390	10592	JESSICA BRAGA LAKISS GUSMÃO
532	05875-210	29121	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
533	04938-180	33675	KAIRO ROSA NEVES DE OLIVEIRA
534	04932-370	12742	LUCAS ERMINO TAVARES
535	04905-000	13602	LUISA BELUS HENRIQUES
536	05876-040	17479	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
537	04948-030	14093	MARCELO KOSARCZUK DA COSTA
538	04960-020	19026	MARCELO SEMERENE FARAH
539	04948-030	11811	MARIA HELENA C P GODEIRO GASPARINETTI
540	05875-210	6200	MATEUS DRIGO DA SILVA
541	04940-000	24635	MATHEUS AMARAL MÕES
542	05882-380	16402	REGINALDO DE MIRANDA TEODORO
543	06719-150	39494	ROBERTA CRISTINA FORMIGA DE CASTRO
544	06730-000	39504	RAQUEL DE SOUZA BATISTA FONTES
545	06720-150	18620	ALEXANDRE DE ALMEIDA FONSECA
546	06713-100	36332	ALINE BRAGA LAKISS GUSMÃO
547	06700-080	26104	ANA PAULA GARUTTI DA SILVA
548	06700-575	19723	ANA PAULA GONÇALVES DOS SANTOS
549	06700-455	14263	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
550	06727-300	47019	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
551	06720-120	17922	DANIEL ROCHA SANTANNA
552	06726-410	35658	DANIELA DE GOES NOGUEIRA GEORG
553	06700-000	12719	DAVI KHOURY OLIVEIRA
554	06721-100	14511	DEMILTON CARVALHO LEITE JUNIOR
555	06719-259	32236	DENIS BORGARELLI TAVARES
556	06703-390	13780	EDUARDO CAMPEDELLI KAVAMOTO
557	06730-000	50887	FABIO NETTO PINHEIRO GRANDE
558	06700-075	14309	FELIPE SANTOS ARAÚJO
559	27973-240	4864	GERALDO RODRIGUES DA SILVA JÚNIOR
560	27953-070	18195	HUGO AZEVEDO BERGAMASCHI
561	27953-260	15427	HUGO CRISOSTOMO DE MACEDO
562	27943-682	11958	HUGO DE MARCO FERNANDES
563	11435-080	39078	JESSICA BRAGA LAKISS GUSMÃO
564	11430-000	32974	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
565	11435-050	5117	KAIRO ROSA NEVES DE OLIVEIRA
566	11444-050	50834	LUCAS ERMINO TAVARES
567	11075-251	33347	LUISA BELUS HENRIQUES
568	26250-010	38878	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
569	26393-400	46445	MARCELO KOSARCZUK DA COSTA
570	26367-290	24137	MARCELO SEMERENE FARAH
571	26210-190	19191	MARIA HELENA C P GODEIRO GASPARINETTI
572	26520-320	27088	MATEUS DRIGO DA SILVA
573	26587-590	41222	MATHEUS AMARAL MÕES
574	26299-240	16754	REGINALDO DE MIRANDA TEODORO
575	26280-380	12778	ROBERTA CRISTINA FORMIGA DE CASTRO
576	23047-160	24963	RAQUEL DE SOUZA BATISTA FONTES
577	23080-540	5495	ALEXANDRE DE ALMEIDA FONSECA
578	23075-305	17549	ALINE BRAGA LAKISS GUSMÃO
579	23017-250	13022	ANA PAULA GARUTTI DA SILVA
580	23047-600	31706	ANA PAULA GONÇALVES DOS SANTOS
581	23036-150	6028	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
582	23080-100	15211	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
583	23040-300	4083	DANIEL ROCHA SANTANNA
584	23082-330	17921	DANIELA DE GOES NOGUEIRA GEORG
585	23045-300	27869	DAVI KHOURY OLIVEIRA
586	23016-010	46652	DEMILTON CARVALHO LEITE JUNIOR
587	23042-500	46898	DENIS BORGARELLI TAVARES
588	23097-650	45056	EDUARDO CAMPEDELLI KAVAMOTO
589	23012-280	1793	FABIO NETTO PINHEIRO GRANDE
590	23067-430	14478	FELIPE SANTOS ARAÚJO
591	02281-090	25413	GERALDO RODRIGUES DA SILVA JÚNIOR
592	02169-000	49076	HUGO AZEVEDO BERGAMASCHI
593	02168-130	21972	HUGO CRISOSTOMO DE MACEDO
594	02125-001	33294	HUGO DE MARCO FERNANDES
595	25550-570	21908	JESSICA BRAGA LAKISS GUSMÃO
596	25575-241	23189	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
597	25560-581	11834	KAIRO ROSA NEVES DE OLIVEIRA
598	25565-390	7627	LUCAS ERMINO TAVARES
599	25575-310	15154	LUISA BELUS HENRIQUES
600	25585-480	24353	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
601	25585-070	50003	MARCELO KOSARCZUK DA COSTA
602	25585-400	34610	MARCELO SEMERENE FARAH
603	25520-200	26510	MARIA HELENA C P GODEIRO GASPARINETTI
604	21520-210	12628	MATEUS DRIGO DA SILVA
605	25555-240	2706	MATHEUS AMARAL MÕES
606	25545-341	33399	REGINALDO DE MIRANDA TEODORO
607	25555-100	36996	ROBERTA CRISTINA FORMIGA DE CASTRO
608	25565-150	47668	RAQUEL DE SOUZA BATISTA FONTES
609	25575-010	3010	ALEXANDRE DE ALMEIDA FONSECA
610	25550-570	2410	ALINE BRAGA LAKISS GUSMÃO
611	21532-290	23441	ANA PAULA GARUTTI DA SILVA
612	25555-100	22724	ANA PAULA GONÇALVES DOS SANTOS
613	25520-040	12753	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
614	21535-240	29511	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
615	26127-110	30297	DANIEL ROCHA SANTANNA
616	26170-000	6345	DANIELA DE GOES NOGUEIRA GEORG
617	26190-290	31734	DAVI KHOURY OLIVEIRA
618	26123-090	12518	DEMILTON CARVALHO LEITE JUNIOR
619	26170-310	34225	DENIS BORGARELLI TAVARES
620	26115-200	9560	EDUARDO CAMPEDELLI KAVAMOTO
621	26145-290	44514	FABIO NETTO PINHEIRO GRANDE
622	26120-130	34903	FELIPE SANTOS ARAÚJO
623	26182-000	45095	GERALDO RODRIGUES DA SILVA JÚNIOR
624	26167-520	47751	HUGO AZEVEDO BERGAMASCHI
625	26112-260	33958	HUGO CRISOSTOMO DE MACEDO
626	26165-280	27702	HUGO DE MARCO FERNANDES
627	26163-485	17371	JESSICA BRAGA LAKISS GUSMÃO
628	26170-180	24937	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
629	26178-400	23924	KAIRO ROSA NEVES DE OLIVEIRA
630	26193-070	32751	LUCAS ERMINO TAVARES
631	26183-630	25843	LUISA BELUS HENRIQUES
632	26167-710	6684	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
633	26190-080	13591	MARCELO KOSARCZUK DA COSTA
634	26140-330	30192	MARCELO SEMERENE FARAH
635	26182-000	31664	MARIA HELENA C P GODEIRO GASPARINETTI
636	09132-590	32119	MATEUS DRIGO DA SILVA
637	09330-620	10964	MATHEUS AMARAL MÕES
638	09330-860	26753	REGINALDO DE MIRANDA TEODORO
639	09371-170	28483	ROBERTA CRISTINA FORMIGA DE CASTRO
640	09330-771	45012	RAQUEL DE SOUZA BATISTA FONTES
641	09320-760	36086	ALEXANDRE DE ALMEIDA FONSECA
642	09330-771	22229	ALINE BRAGA LAKISS GUSMÃO
643	09153-300	8704	ANA PAULA GARUTTI DA SILVA
644	09390-030	3012	ANA PAULA GONÇALVES DOS SANTOS
645	09421-000	25904	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
646	09120-380	5945	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
647	09321-410	30313	DANIEL ROCHA SANTANNA
648	09015-300	49597	DANIELA DE GOES NOGUEIRA GEORG
649	09330-010	45379	DAVI KHOURY OLIVEIRA
650	09321-375	12172	DEMILTON CARVALHO LEITE JUNIOR
651	09335-000	43360	DENIS BORGARELLI TAVARES
652	09330-550	3926	EDUARDO CAMPEDELLI KAVAMOTO
653	09330-500	29494	FABIO NETTO PINHEIRO GRANDE
654	09280-600	43869	FELIPE SANTOS ARAÚJO
655	09390-500	30124	GERALDO RODRIGUES DA SILVA JÚNIOR
656	09390-030	5558	HUGO AZEVEDO BERGAMASCHI
657	09061-410	28415	HUGO CRISOSTOMO DE MACEDO
658	09132-150	5080	HUGO DE MARCO FERNANDES
659	04252-020	32269	JESSICA BRAGA LAKISS GUSMÃO
660	04218-040	34075	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
661	04236-120	40664	KAIRO ROSA NEVES DE OLIVEIRA
662	04218-040	46344	LUCAS ERMINO TAVARES
663	04235-020	15206	LUISA BELUS HENRIQUES
664	04231-015	27751	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
665	04235-320	5978	MARCELO KOSARCZUK DA COSTA
666	04264-090	13034	MARCELO SEMERENE FARAH
667	04218-100	41647	MARIA HELENA C P GODEIRO GASPARINETTI
668	04235-010	11130	MATEUS DRIGO DA SILVA
669	04230-000	11321	MATHEUS AMARAL MÕES
670	04233-140	21031	REGINALDO DE MIRANDA TEODORO
671	04233-060	47102	ROBERTA CRISTINA FORMIGA DE CASTRO
672	04235-100	48960	RAQUEL DE SOUZA BATISTA FONTES
673	04232-000	27533	ALEXANDRE DE ALMEIDA FONSECA
674	04235-480	11531	ALINE BRAGA LAKISS GUSMÃO
675	04231-015	42666	ANA PAULA GARUTTI DA SILVA
676	04286-000	44157	ANA PAULA GONÇALVES DOS SANTOS
677	04218-000	13363	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
678	04208-002	41382	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
679	04235-100	18877	DANIEL ROCHA SANTANNA
680	04284-000	23492	DANIELA DE GOES NOGUEIRA GEORG
681	04236-090	40825	DAVI KHOURY OLIVEIRA
682	04235-320	22377	DEMILTON CARVALHO LEITE JUNIOR
683	04235-040	3875	DENIS BORGARELLI TAVARES
684	04218-040	35118	EDUARDO CAMPEDELLI KAVAMOTO
685	04235-100	37152	FABIO NETTO PINHEIRO GRANDE
686	04235-100	29466	FELIPE SANTOS ARAÚJO
687	04240-170	38296	GERALDO RODRIGUES DA SILVA JÚNIOR
688	26030-330	48267	HUGO AZEVEDO BERGAMASCHI
689	26022-131	1937	HUGO CRISOSTOMO DE MACEDO
690	26315-360	5158	HUGO DE MARCO FERNANDES
691	26415-390	40731	JESSICA BRAGA LAKISS GUSMÃO
692	26584-200	10099	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
693	26315-440	40000	KAIRO ROSA NEVES DE OLIVEIRA
694	26574-010	25576	LUCAS ERMINO TAVARES
695	26022-040	50936	LUISA BELUS HENRIQUES
696	26010-077	38518	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
697	26022-700	29871	MARCELO KOSARCZUK DA COSTA
698	26553-120	5241	MARCELO SEMERENE FARAH
699	26032-480	25522	MARIA HELENA C P GODEIRO GASPARINETTI
700	26580-270	40214	MATEUS DRIGO DA SILVA
701	26553-200	4500	MATHEUS AMARAL MÕES
702	26551-040	47040	REGINALDO DE MIRANDA TEODORO
703	25212-100	35361	ROBERTA CRISTINA FORMIGA DE CASTRO
704	25241-390	25866	RAQUEL DE SOUZA BATISTA FONTES
705	25211-260	14008	ALEXANDRE DE ALMEIDA FONSECA
706	25253-550	29054	ALINE BRAGA LAKISS GUSMÃO
707	25264-170	15737	ANA PAULA GARUTTI DA SILVA
708	25251-170	12025	ANA PAULA GONÇALVES DOS SANTOS
709	25211-200	44815	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
710	25250-170	26707	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
711	25243-010	48450	DANIEL ROCHA SANTANNA
712	25251-230	35224	DANIELA DE GOES NOGUEIRA GEORG
713	25241-180	12213	DAVI KHOURY OLIVEIRA
714	25261-420	35287	DEMILTON CARVALHO LEITE JUNIOR
715	25200-000	25404	DENIS BORGARELLI TAVARES
716	25900-000	36688	EDUARDO CAMPEDELLI KAVAMOTO
717	25940-000	2002	FABIO NETTO PINHEIRO GRANDE
718	25225-000	13388	FELIPE SANTOS ARAÚJO
719	25270-250	43572	GERALDO RODRIGUES DA SILVA JÚNIOR
720	25260-050	22445	HUGO AZEVEDO BERGAMASCHI
721	25250-460	48906	HUGO CRISOSTOMO DE MACEDO
722	25250-410	46491	HUGO DE MARCO FERNANDES
723	25261-500	19655	JESSICA BRAGA LAKISS GUSMÃO
724	11340-080	23757	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
725	11700-400	3258	KAIRO ROSA NEVES DE OLIVEIRA
726	11335-050	35467	LUCAS ERMINO TAVARES
727	11310-010	20005	LUISA BELUS HENRIQUES
728	11349-170	21252	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
729	07110-080	30473	MARCELO KOSARCZUK DA COSTA
730	07084-030	40397	MARCELO SEMERENE FARAH
731	07023-000	39107	MARIA HELENA C P GODEIRO GASPARINETTI
732	07063-160	49493	MATEUS DRIGO DA SILVA
733	07097-160	5875	MATHEUS AMARAL MÕES
734	05663-000	44913	REGINALDO DE MIRANDA TEODORO
735	05664-000	40029	ROBERTA CRISTINA FORMIGA DE CASTRO
736	05664-000	43852	RAQUEL DE SOUZA BATISTA FONTES
737	04855-230	23332	ALEXANDRE DE ALMEIDA FONSECA
738	05663-000	3444	ALINE BRAGA LAKISS GUSMÃO
739	05844-000	28462	ANA PAULA GARUTTI DA SILVA
740	04890-100	2305	ANA PAULA GONÇALVES DOS SANTOS
741	05660-000	1239	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
742	05661-050	49718	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
743	05663-030	20473	DANIEL ROCHA SANTANNA
744	05660-000	49888	DANIELA DE GOES NOGUEIRA GEORG
745	04841-190	32698	DAVI KHOURY OLIVEIRA
746	05661-050	42857	DEMILTON CARVALHO LEITE JUNIOR
747	05660-000	46256	DENIS BORGARELLI TAVARES
748	05664-000	8649	EDUARDO CAMPEDELLI KAVAMOTO
749	05665-010	49059	FABIO NETTO PINHEIRO GRANDE
750	05660-000	48209	FELIPE SANTOS ARAÚJO
751	05663-000	40331	GERALDO RODRIGUES DA SILVA JÚNIOR
752	05663-000	9662	HUGO AZEVEDO BERGAMASCHI
753	05664-000	45281	HUGO CRISOSTOMO DE MACEDO
754	05665-030	36402	HUGO DE MARCO FERNANDES
755	05665-020	47469	JESSICA BRAGA LAKISS GUSMÃO
756	06433-010	36713	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
757	06436-210	27664	KAIRO ROSA NEVES DE OLIVEIRA
758	06444-000	15253	LUCAS ERMINO TAVARES
759	06415-100	8966	LUISA BELUS HENRIQUES
760	06436-230	2704	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
761	06263-100	4540	MARCELO KOSARCZUK DA COSTA
762	06437-070	29189	MARCELO SEMERENE FARAH
763	06463-350	1440	MARIA HELENA C P GODEIRO GASPARINETTI
764	06433-220	10905	MATEUS DRIGO DA SILVA
765	06463-150	7361	MATHEUS AMARAL MÕES
766	06434-210	19620	REGINALDO DE MIRANDA TEODORO
767	06462-000	45986	ROBERTA CRISTINA FORMIGA DE CASTRO
768	06463-180	33679	RAQUEL DE SOUZA BATISTA FONTES
769	06437-030	47143	ALEXANDRE DE ALMEIDA FONSECA
770	06462-005	43975	ALINE BRAGA LAKISS GUSMÃO
771	06246-150	26311	ANA PAULA GARUTTI DA SILVA
772	06462-000	12490	ANA PAULA GONÇALVES DOS SANTOS
773	23035-380	39285	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
774	23035-380	16864	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
775	23035-090	10659	DANIEL ROCHA SANTANNA
776	23036-140	31740	DANIELA DE GOES NOGUEIRA GEORG
777	23032-320	39541	DAVI KHOURY OLIVEIRA
778	23031-191	2890	DEMILTON CARVALHO LEITE JUNIOR
779	23031-192	15145	DENIS BORGARELLI TAVARES
780	23033-100	20598	EDUARDO CAMPEDELLI KAVAMOTO
781	23031-320	892	FABIO NETTO PINHEIRO GRANDE
782	23036-270	42542	FELIPE SANTOS ARAÚJO
783	23031-191	5644	GERALDO RODRIGUES DA SILVA JÚNIOR
784	23020-715	43850	HUGO AZEVEDO BERGAMASCHI
785	02911-000	48755	HUGO CRISOSTOMO DE MACEDO
786	08410-000	49130	HUGO DE MARCO FERNANDES
787	08581-370	10103	JESSICA BRAGA LAKISS GUSMÃO
788	08461-000	32560	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
789	08410-440	15472	KAIRO ROSA NEVES DE OLIVEIRA
790	08599-000	42818	LUCAS ERMINO TAVARES
791	08441-160	41217	LUISA BELUS HENRIQUES
792	08450-080	20529	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
793	08441-330	38640	MARCELO KOSARCZUK DA COSTA
794	08450-000	44040	MARCELO SEMERENE FARAH
795	08142-100	22196	MARIA HELENA C P GODEIRO GASPARINETTI
796	08460-000	44400	MATEUS DRIGO DA SILVA
797	08410-030	26031	MATHEUS AMARAL MÕES
798	08410-030	49398	REGINALDO DE MIRANDA TEODORO
799	08410-030	40199	ROBERTA CRISTINA FORMIGA DE CASTRO
800	08581-370	32989	RAQUEL DE SOUZA BATISTA FONTES
801	08410-000	41359	ALEXANDRE DE ALMEIDA FONSECA
802	08460-000	17308	ALINE BRAGA LAKISS GUSMÃO
803	08441-000	40835	ANA PAULA GARUTTI DA SILVA
804	21061-300	33754	ANA PAULA GONÇALVES DOS SANTOS
805	20771-490	2424	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
806	20710-230	45834	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
807	20766-690	5345	DANIEL ROCHA SANTANNA
808	20520-054	4638	DANIELA DE GOES NOGUEIRA GEORG
809	20770-054	17800	DAVI KHOURY OLIVEIRA
810	20750-093	26074	DEMILTON CARVALHO LEITE JUNIOR
811	20720-292	38333	DENIS BORGARELLI TAVARES
812	20780-340	11066	EDUARDO CAMPEDELLI KAVAMOTO
813	20751-971	47077	FABIO NETTO PINHEIRO GRANDE
814	20510-060	42474	FELIPE SANTOS ARAÚJO
815	20771-001	47221	GERALDO RODRIGUES DA SILVA JÚNIOR
816	20551-230	17547	HUGO AZEVEDO BERGAMASCHI
817	20970-683	41910	HUGO CRISOSTOMO DE MACEDO
818	21051-220	28598	HUGO DE MARCO FERNANDES
819	20720-012	3734	JESSICA BRAGA LAKISS GUSMÃO
820	21061-020	8703	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
821	21381-300	22540	KAIRO ROSA NEVES DE OLIVEIRA
822	20560-001	33873	LUCAS ERMINO TAVARES
823	05790-140	18165	LUISA BELUS HENRIQUES
824	05797-430	14835	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
825	05890-490	23832	MARCELO KOSARCZUK DA COSTA
826	06823-090	3829	MARCELO SEMERENE FARAH
827	06843-080	38239	MARIA HELENA C P GODEIRO GASPARINETTI
828	05871-240	29922	MATEUS DRIGO DA SILVA
829	05789-080	48632	MATHEUS AMARAL MÕES
830	05894-340	45345	REGINALDO DE MIRANDA TEODORO
831	05858-002	1241	ROBERTA CRISTINA FORMIGA DE CASTRO
832	05887-360	10680	RAQUEL DE SOUZA BATISTA FONTES
833	05868-750	41286	ALEXANDRE DE ALMEIDA FONSECA
834	06756-270	43067	ALINE BRAGA LAKISS GUSMÃO
835	05783-170	11464	ANA PAULA GARUTTI DA SILVA
836	05890-500	24914	ANA PAULA GONÇALVES DOS SANTOS
837	05890-050	7580	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
838	05893-000	18985	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
839	05795-300	46238	DANIEL ROCHA SANTANNA
840	05893-120	39310	DANIELA DE GOES NOGUEIRA GEORG
841	06824-170	30324	DAVI KHOURY OLIVEIRA
842	05791-220	36691	DEMILTON CARVALHO LEITE JUNIOR
843	05529-020	46496	DENIS BORGARELLI TAVARES
844	05314-000	18539	EDUARDO CAMPEDELLI KAVAMOTO
845	05314-000	16635	FABIO NETTO PINHEIRO GRANDE
846	05379-170	35117	FELIPE SANTOS ARAÚJO
847	05387-110	41418	GERALDO RODRIGUES DA SILVA JÚNIOR
848	05360-150	18395	HUGO AZEVEDO BERGAMASCHI
849	02861-180	4885	HUGO CRISOSTOMO DE MACEDO
850	02855-270	10486	HUGO DE MARCO FERNANDES
851	02836-000	12649	JESSICA BRAGA LAKISS GUSMÃO
852	02855-270	10140	JOSÉ RICARDO ALMEIDA DE BRITTO FILHO
853	02860-001	44934	KAIRO ROSA NEVES DE OLIVEIRA
854	02849-110	21254	LUCAS ERMINO TAVARES
855	02737-000	15699	LUISA BELUS HENRIQUES
856	02855-250	38720	LUIZ BEZERRA DE OLIVEIRA LIMA NETO
857	02871-090	27499	MARCELO KOSARCZUK DA COSTA
858	02855-270	21372	MARCELO SEMERENE FARAH
859	02855-250	44442	MARIA HELENA C P GODEIRO GASPARINETTI
860	02847-070	29248	MATEUS DRIGO DA SILVA
861	02851-070	36299	MATHEUS AMARAL MÕES
862	02859-150	25936	REGINALDO DE MIRANDA TEODORO
863	02814-000	25625	ROBERTA CRISTINA FORMIGA DE CASTRO
864	02814-000	39082	RAQUEL DE SOUZA BATISTA FONTES
865	02879-000	49598	ALEXANDRE DE ALMEIDA FONSECA
866	02566-010	26785	ALINE BRAGA LAKISS GUSMÃO
867	02846-010	11935	ANA PAULA GARUTTI DA SILVA
868	02851-000	13617	ANA PAULA GONÇALVES DOS SANTOS
869	02820-090	15574	BRENO PREISCHARDT ZANFERDINI DE ALMEIDA
870	02847-060	21365	CARLOS EDUARDO DIAS PINHEIRO MÉRIDA ONTI
871	02859-070	11922	DANIEL ROCHA SANTANNA
872	02851-000	44657	DANIELA DE GOES NOGUEIRA GEORG
873	02551-100	33007	DAVI KHOURY OLIVEIRA
874	02856-010	26511	DEMILTON CARVALHO LEITE JUNIOR
875	02878-990	46870	DENIS BORGARELLI TAVARES
876	02542-000	41922	EDUARDO CAMPEDELLI KAVAMOTO
